,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
5,S,"E, F",-187.87394357150902,385.74788714301803,397.72013291638024,4903.119080930821,1232.3205149553826,1.0,1.0
15,GM,"E, F, C",-193.35611192818828,396.71222385637657,408.68446962973877,5380.943104508935,5292.491280090766,0.9024613051905287,0.9043063179791931
8,S,"E, F, C",-192.9365183261923,397.8730366523846,412.23973158041923,5831.363390627542,2094.245349010045,0.8681154448262741,0.873276980272464
3,S,F,-243.47611989611028,494.95223979222055,504.5300364109103,7293.364411413645,4922.956255960549,0.16553999334851002,0.06779286254263679
1,S,None,-244.73430294926652,495.46860589853304,502.65195336255033,7611.969747522116,2902.116973321754,0.14502616332587046,0.06199067624230506
7,S,"F, C",-243.4761198961105,496.952239792221,508.9244855655832,7293.3644114076,4922.956255965586,0.15167707934105368,0.04930699679591705
11,GM,F,-245.58830250342908,497.17660500685815,504.35995247087544,7576.208535495596,5292.491279912852,0.13615590618767986,0.047388884468148866
2,S,E,-244.60254817704003,497.20509635408007,506.78289297276984,7145.614778363579,2963.049266473975,0.1596123841541748,0.04813055691438905
4,S,C,-244.73430294926675,497.4686058985335,507.04640251722327,7611.969747522154,2902.116973321103,0.13116324931806492,0.04583071888354387
14,GM,"F, C",-245.58830250342862,499.17660500685724,508.754401625547,7576.208535491405,3477.6823007038056,0.12229299218012568,0.03092377760321822
6,S,"E, C",-244.60254817703935,499.2050963540787,511.1773421274409,7145.61477836399,2963.049266472659,0.1457494701463595,0.030047184391479933
9,GM,None,-248.09276308881658,500.18552617763316,504.974424486978,9259.296536067108,2349.211354195707,0.021394948791420867,3.775790978065942e-15
10,GM,E,-247.3598860757745,500.719772151549,507.9031196155663,7415.34554731865,3477.6823006277637,0.12272938577004316,0.017098125757776205
12,GM,C,-248.0927630888168,502.1855261776336,509.3688736416509,9259.296536067124,2349.211354195684,0.007532034783616595,0.0
13,GM,"E, C",-247.3598860757745,502.719772151549,512.2975687702387,7415.3455473183485,1176.2603409590038,0.10886647176226001,0.0
